NET.3.2.A1	Erstellung einer Sicherheitsrichtlinie	mitigates	G 0.18
NET.3.2.A27	Einsatz verschiedener Firewall-Betriebssysteme und -Produkte in einer mehrstufigen Firewall-Architektur	mitigates	G 0.14
NET.3.2.A27	Einsatz verschiedener Firewall-Betriebssysteme und -Produkte in einer mehrstufigen Firewall-Architektur	mitigates	G 0.19
NET.3.2.A27	Einsatz verschiedener Firewall-Betriebssysteme und -Produkte in einer mehrstufigen Firewall-Architektur	mitigates	G 0.21
NET.3.2.A27	Einsatz verschiedener Firewall-Betriebssysteme und -Produkte in einer mehrstufigen Firewall-Architektur	mitigates	G 0.23
NET.3.2.A27	Einsatz verschiedener Firewall-Betriebssysteme und -Produkte in einer mehrstufigen Firewall-Architektur	mitigates	G 0.26
NET.3.2.A28	Zentrale Filterung von aktiven Inhalten	mitigates	G 0.39
NET.3.2.A29	Einsatz von Hochverfügbarkeitslösungen	mitigates	G 0.9
NET.3.2.A29	Einsatz von Hochverfügbarkeitslösungen	mitigates	G 0.18
NET.3.2.A29	Einsatz von Hochverfügbarkeitslösungen	mitigates	G 0.25
NET.3.2.A29	Einsatz von Hochverfügbarkeitslösungen	mitigates	G 0.27
NET.3.2.A30	Bandbreitenmanagement für kritische Anwendungen und Dienste	mitigates	G 0.27
NET.3.2.A31	Einsatz von zertifizierten Produkten	mitigates	G 0.18
NET.3.2.A32	Notfallvorsorge für die Firewall 	mitigates	G 0.9
NET.3.2.A32	Notfallvorsorge für die Firewall 	mitigates	G 0.18
NET.3.2.A32	Notfallvorsorge für die Firewall 	mitigates	G 0.27
